Temperature,H2,H2O,CO,CO2,CH2O,CH4,CH3OH,C2H2,CH3CHO,C2H4,C2H6,CH3COCH3,A1-C6H6,C5H6,A2-C10H8,A1OH-C6H6O,C5H4O2,C2H2O2,HAA-C2H4O2,XYLOSE-C5H8O,C11H12O4,C8H10O3,C2H5OH,HCOOH
1073.0,0.0002,0.06726,0.06819,0.11347,0.05869,0.0027,0.04068,0.0,0.01221,0.01007,0.0,0.04806,0.0,0.0,0.0,0.00145,0.0,0.02296,0.07041,0.08329,0.05689,0.0,0.00764,0.00682
1073.0,0.00018,0.06664,0.06717,0.10753,0.05246,0.00257,0.04431,0.0,0.01095,0.00877,0.0,0.04403,0.0,0.0,0.0,0.00147,0.0,0.02074,0.06499,0.09437,0.06173,0.0,0.00658,0.00645
1073.0,0.00019,0.19064,0.05684,0.10156,0.0568,0.0023,0.03214,0.0,0.01136,0.00998,0.0,0.04511,0.0,0.0,0.0,0.00127,0.0,0.0221,0.06655,0.06245,0.04874,0.0,0.00763,0.00616
1073.0,0.00017,0.18713,0.05906,0.09859,0.05084,0.00235,0.03511,0.0,0.01063,0.00868,0.0,0.04185,0.0,0.0,0.0,0.00127,0.0,0.01999,0.06131,0.07372,0.04966,0.0,0.00657,0.00594
1073.0,0.00016,0.18492,0.05859,0.09398,0.04577,0.00225,0.03822,0.0,0.00958,0.00762,0.0,0.03852,0.0,0.0,0.0,0.00128,0.0,0.01815,0.05686,0.0828,0.05385,0.0,0.00572,0.00564
1073.0,0.00016,0.30514,0.04826,0.08664,0.04847,0.00196,0.02723,0.0,0.00972,0.00848,0.0,0.03867,0.0,0.0,0.0,0.00109,0.0,0.01895,0.05709,0.05493,0.04165,0.0,0.00648,0.00527
1073.0,0.00015,0.29996,0.05047,0.08478,0.04383,0.00203,0.02984,0.0,0.00918,0.00746,0.0,0.03614,0.0,0.0,0.0,0.00109,0.0,0.01727,0.05296,0.0638,0.04278,0.0,0.00565,0.00513
1073.0,0.0,0.46619,0.10413,0.03886,0.0346,0.00564,0.04765,0.0,0.0071,0.04634,0.0,0.03193,0.0,0.0,0.0,0.02413,0.0,0.0,0.01269,0.0,0.12677,0.0,0.0,0.00549
1073.0,0.00014,0.29646,0.05048,0.08118,0.03956,0.00195,0.03283,0.0,0.0083,0.00658,0.0,0.03334,0.0,0.0,0.0,0.00111,0.0,0.01571,0.0492,0.07154,0.0464,0.0,0.00493,0.00488
1073.0,0.00024,0.06781,0.06337,0.11849,0.07178,0.00231,0.03399,0.0,0.01352,0.01293,0.0,0.05524,0.0,0.0,0.0,0.00151,0.0,0.02781,0.08278,0.06246,0.04788,0.0,0.00994,0.00712
